Label,Text,Start,End
Scientific Plant Name,B. pilosa,1257,1266
Medical Condition,Listeria infection,1531,1549
Medicinal Effect,antibacterial,2993,3006
Scientific Plant Name,B. pilosa,3059,3068
Scientific Plant Name,B. pilosa,3198,3207
Medicinal Effect,antibacterial,3336,3349
Scientific Plant Name,B. pilosa,3412,3421
Scientific Plant Name,B. pilosa,3600,3609
Medicinal Effect,antibacterial,3672,3685
Medicinal Effect,antibacterial,3745,3758
Medicinal Effect,antibacterial,3978,3991
Scientific Plant Name,B. pilosa,4128,4137
Medicinal Effect,antibacterial,4154,4167
Medical Condition,bacterial growth,4420,4436
Medical Condition,bacterial growth,4510,4526
Medicinal Effect,Antibacterial,4920,4933
Scientific Plant Name,B. pilosa,4946,4955
Medicinal Effect,Antifungal,5186,5196
Scientific Plant Name,B. pilosa,5207,5216
Scientific Plant Name,B. pilosa,5304,5313
Medicinal Effect,antifungal,5335,5345
Medicinal Effect,antifungal,5398,5408
Scientific Plant Name,B. pilosa,5449,5458
Scientific Plant Name,B. pilosa,5622,5631
Medicinal Effect,antifungal,5867,5877
Scientific Plant Name,B. pilosa,5935,5944
Medicinal Effect,antifungal,6013,6023
Scientific Plant Name,B. pilosa,6283,6292
Medicinal Effect,antifungal,6306,6316
Scientific Plant Name,B. pilosa,6540,6549
Scientific Plant Name,B. pilosa,6625,6634
Scientific Plant Name,B. pilosa,6968,6977
Scientific Plant Name,B. pilosa,7239,7248
Medicinal Effect,antifungal,7288,7298
Medicinal Effect,Hypotensive,7328,7339
Medicinal Effect,Vasodilatory,7344,7356
Medicinal Effect,hypotensive,7560,7571
Scientific Plant Name,B. pilosa,7612,7621
Scientific Plant Name,B. pilosa,7908,7917
Scientific Plant Name,B. pilosa,8046,8055
Scientific Plant Name,B. pilosa,8227,8236
Medical Condition,hypertension,8315,8327
Scientific Plant Name,B. pilosa,8558,8567
Scientific Plant Name,B. pilosa,8623,8632
Medicinal Effect,hypotensive,8646,8657
Scientific Plant Name,B. pilosa,8773,8782
Medicinal Effect,hypotensive,8866,8877
Scientific Plant Name,B. pilosa,8949,8958
Medicinal Effect,hypotensive,9715,9726
Medicinal Effect,hypotensive,9788,9799
Medicinal Effect,hypotensive,9861,9872
Medicinal Effect,hypotensive,9935,9946
Medicinal Effect,hypotensive,9991,10002
Scientific Plant Name,B. pilosa,10078,10087
Medicinal Effect,hypotensive,10109,10120
Scientific Plant Name,B. pilosa,10325,10334
Medicinal Effect,vasodilatory,10906,10918
Scientific Plant Name,B. pilosa,10929,10938
Scientific Plant Name,B. pilosa,11397,11406
Scientific Plant Name,B. pilosa,11560,11569
Scientific Plant Name,B. pilosa,11676,11685
Medicinal Effect,hypotensive,11699,11710
Medicinal Effect,vasodilatory,11715,11727
Medical Condition,Wound Healing,11784,11797
Scientific Plant Name,B. pilosa,11808,11817
Medical Condition,wound healing,11947,11960
Scientific Plant Name,B. pilosa,11974,11983
Scientific Plant Name,B. pilosa,12078,12087
Scientific Plant Name,B. pilosa,12357,12366
Scientific Plant Name,B. pilosa,12462,12471
Medical Condition,wound healing,12576,12589
Scientific Plant Name,B. pilosa,12600,12609
Scientific Plant Name,B. pilosa,12732,12741
Medical Condition,gastric ulcers,12745,12759
Medical Condition,gastric ulcers,13378,13392
Scientific Plant Name,B. pilosa,13566,13575
Scientific Plant Name,B. pilosa,13850,13859
Scientific Plant Name,B. pilosa,13939,13948
Scientific Plant Name,pilosa,14248,14254
Scientific Plant Name,B. pilosa,14513,14522
Scientific Plant Name,B. pilosa,14803,14812
Medical Condition,gastric ulcers,14821,14835
Scientific Plant Name,B. pilosa,14935,14944
Scientific Plant Name,B. pilosa,15134,15143
Scientific Plant Name,B. pilosa,15438,15447
Medicinal Effect,anti-ulcerative,15477,15492
Scientific Plant Name,B. pilosa,15548,15557
Scientific Plant Name,B. pilosa,15764,15773
Scientific Plant Name,B. pilosa,15804,15813
Scientific Plant Name,B. pilosa,15962,15971
Scientific Plant Name,B. pilosa,16272,16281
Scientific Plant Name,B. pilosa,16478,16487
Scientific Plant Name,B. pilosa,16565,16574
Scientific Plant Name,B. pilosa,98,107
Scientific Plant Name,B. pilosa,255,264
Scientific Plant Name,B. pilosa,411,420
Scientific Plant Name,B. pilosa,840,849
Scientific Plant Name,B. pilosa,955,964
Scientific Plant Name,B. pilosa,1017,1026
Scientific Plant Name,B. pilosa,1189,1198
Scientific Plant Name,B. pilosa,1324,1333
Scientific Plant Name,B. pilosa,1404,1413
Scientific Plant Name,B. pilosa,1556,1565
Scientific Plant Name,B. pilosa,1691,1700
Scientific Plant Name,B. pilosa,1894,1903
Medical Condition,tumors,1969,1975
Medical Condition,inflammation/immune modulation,1977,2007
Medical Condition,diabetes,2009,2017
Medical Condition,viruses,2019,2026
Medical Condition,microbes,2028,2036
Medical Condition,protozoans,2038,2048
Medical Condition,hypertension,2079,2091
Medical Condition,cardiovascular diseases,2097,2120
Scientific Plant Name,B. pilosa,2176,2185
Medical Condition,hypoglycemia,2190,2202
Medical Condition,hypotension,2204,2215
Medical Condition,bleeding,2217,2225
Medical Condition,allergy,2231,2238
Medical Condition,Cancer,183,189
Medical Condition,genomic instability,1283,1302
Medical Condition,senescence,1314,1324
Medical Condition,apoptosis,1326,1335
Medical Condition,tumorigenesis,1341,1354
Medical Condition,cancer,1400,1406
Medical Condition,cancer,1620,1626
Medical Condition,genome instability,1679,1697
Medical Condition,cancer,1702,1708
Medical Condition,cancer,1788,1794
Medicinal Effect,chemopreventive,1995,2010
Medicinal Effect,therapeutic,2014,2025
Medical Condition,oxidative stress,2099,2115
Medicinal Effect,scavenging free radicals,2119,2143
Medicinal Effect,activating endogenous defence systems,2151,2188
Medicinal Effect,antioxidant,2212,2223
Medicinal Effect,metal ion chelation,2253,2272
Medical Condition,oxidative DNA damage,2307,2327
Medicinal Effect,selective cytotoxicity,2418,2440
Medical Condition,cancer,2444,2450
Medical Condition,cancer,2493,2499
Medicinal Effect,redox regulators,2557,2573
Medical Condition,cancer,2628,2634
Medical Condition,Oxidative Insult,2728,2744
Medical Condition,Cancer,2797,2803
Medical Condition,senescence,3044,3054
Medical Condition,apoptosis,3056,3065
Medical Condition,tumorigenesis,3071,3084
Medical Condition,oxidative stress,3096,3112
Medical Condition,oxidative,3290,3299
Medical Condition,oxidative insult,3703,3719
Medical Condition,oxidative stress,3838,3854
Medical Condition,genome instability,4237,4255
Medical Condition,cancer,4319,4325
Medical Condition,cancer,4369,4375
Medical Condition,Cancer,4534,4540
Medical Condition,Tumor initiation,4551,4567
Medical Condition,Tumor promotion,4568,4583
Medical Condition,Tumor invasion,4584,4598
Medical Condition,Tumor metastasis,4599,4615
Medical Condition,Genome instability,4641,4659
Medical Condition,genome rearrangement,4661,4681
Medical Condition,Base pair mismatch,4682,4700
Medical Condition,point mutation,4702,4716
Medical Condition,cancer,5088,5094
Medical Condition,cancer,5282,5288
Medical Condition,cancer,5368,5374
Medical Condition,carcinogenesis,5395,5409
Medical Condition,cancer,5414,5420
Medical Condition,genome instability,5641,5659
Medical Condition,apoptosis,5908,5917
Medical Condition,apoptosis,5998,6007
Medical Condition,apoptosis,6058,6067
Medical Condition,point,6490,6495
Medical Condition,point,6552,6557
Medical Condition,cancer,6933,6939
Medical Condition,oxidative DNA lesions,7067,7088
Medical Condition,cancer,7205,7211
Medical Condition,oxidative stress,7310,7326
Medical Condition,tumor initiation,7346,7362
Medical Condition,cancer,7472,7478
Medical Condition,cancer,7574,7580
Medical Condition,cancer,7701,7707
Medical Condition,oxidative DNA damage,7758,7778
Medical Condition,Oxidative stress-induced lipid peroxidation,7784,7827
Medical Condition,carcinogenesis,7874,7888
Medical Condition,lipid peroxidation,7935,7953
Medical Condition,mutagenesis,8010,8021
Medical Condition,cancer,8061,8067
Medical Condition,cancer,8250,8256
Medical Condition,cancer,8393,8399
Medical Condition,oxidative DNA damage markers,8535,8563
Medical Condition,cancer,8567,8573
Medical Condition,Lipid peroxidation,8642,8660
Medical Condition,oxidative DNA damage,8737,8757
Medical Condition,cancer,8774,8780
Medical Condition,oxidative DNA damage,9059,9079
Medical Condition,lipid peroxidation,9193,9211
Medical Condition,cancer,9289,9295
Medical Condition,oxidative stress,9393,9409
Medical Condition,cancer,9414,9420
Medicinal Effect,antioxidant,9468,9479
Medicinal Effect,chemopreventive,9516,9531
Medicinal Effect,Antioxidant,9642,9653
Medicinal Effect,antioxidant,10002,10013
Medicinal Effect,antioxidant,10168,10179
Medicinal Effect,therapeutic,10207,10218
Medicinal Effect,antioxidant,10351,10362
Medicinal Effect,antioxidant,10510,10521
Medical Condition,inflammation,11558,11570
Medical Condition,Inflammation,11796,11808
Medicinal Effect,antioxidant,12049,12060
Medicinal Effect,antioxidant,12287,12298
Medical Condition,inflammation,13556,13568
Medicinal Effect,antioxidant,13929,13940
Medicinal Effect,antioxidant,13978,13989
Medicinal Effect,antioxidant,14011,14022
Medicinal Effect,antioxidant,14235,14246
Medicinal Effect,antioxidant,14281,14292
Medicinal Effect,antioxidant,14910,14921
Medical Condition,Inflammation,15284,15296
Medical Condition,inflammation,15351,15363
Medical Condition,oxidative insult,15574,15590
Medical Condition,inflammation,15592,15604
Medical Condition,carcinogenesis,15610,15624
Medical Condition,cancer,15687,15693
Medicinal Effect,Antioxidant,16060,16071
Medicinal Effect,antioxidant,16205,16216
Medicinal Effect,antioxidant,16257,16268
Scientific Plant Name,Keap1,0,5
Scientific Plant Name,Nrf2,60,64
Scientific Plant Name,Nrf2,175,179
Scientific Plant Name,Keap1,184,189
Scientific Plant Name,Nrf2,243,247
Scientific Plant Name,Keap1,303,308
Scientific Plant Name,Nrf2,335,339
Medicinal Effect,antioxidant,395,406
Medicinal Effect,antioxidant,510,521
Scientific Plant Name,glutathione synthetase (GSS),551,579
Scientific Plant Name,glutathione reductase (GR),581,607
Scientific Plant Name,glutathione peroxidase (GPx),609,637
Scientific Plant Name,thioredoxin (TRX),639,656
Scientific Plant Name,thioredoxin reductase (TRR),658,685
Scientific Plant Name,peroxiredoxin (PRX),691,710
Medicinal Effect,antioxidant,728,739
Medicinal Effect,antioxidant defense mechanism,796,825
Medicinal Effect,cytoprotective,837,851
Medicinal Effect,Antioxidant,874,885
Medicinal Effect,antioxidant,1230,1241
Medicinal Effect,DNA repair,1481,1491
Scientific Plant Name,vitamin C,1710,1719
Scientific Plant Name,vitamin E,1721,1730
Scientific Plant Name,ubiquinol-10,1732,1744
Scientific Plant Name,urate,1750,1755
Scientific Plant Name,thioredoxin (TRX),1809,1826
Scientific Plant Name,ferritin,2062,2070
Scientific Plant Name,transferrin,2081,2092
Scientific Plant Name,coeruloplasmin,2099,2113
Scientific Plant Name,metallothionein,2124,2139
Scientific Plant Name,Superoxide dismutase (SOD),2332,2358
Scientific Plant Name,catalase (CAT),2501,2515
Scientific Plant Name,glutathione peroxidase (GPx),2533,2561
Scientific Plant Name,glutathione reductase (GR),2725,2751
Scientific Plant Name,NADPH,2828,2833
Scientific Plant Name,NADPH,2913,2918
Scientific Plant Name,thioredoxin reductase (TRR),3001,3028
Scientific Plant Name,NADPH,3041,3046
Medicinal Effect,antioxidant,3205,3216
Scientific Plant Name,NADPH,3310,3315
Medicinal Effect,antioxidant,3451,3462
Medical Condition,oxidative stress,3523,3539
Scientific Plant Name,Keap1,3706,3711
Scientific Plant Name,Nrf2,3761,3765
Medicinal Effect,antioxidant,3805,3816
Medicinal Effect,antioxidant,3857,3868
Medicinal Effect,antioxidant,3902,3913
Scientific Plant Name,Nrf2,4002,4006
Scientific Plant Name,Keap1,4040,4045
Scientific Plant Name,PCNA,4145,4149
Medical Condition,Genome,4182,4188
Medical Condition,genome heterogeneity,4202,4222
Scientific Plant Name,DNA ligase,4223,4233
Scientific Plant Name,Family Y DNA polymerase,4449,4472
Scientific Plant Name,PARP,4473,4477
Scientific Plant Name,DNA glycosylase,4478,4493
Medical Condition,DNA damage,4563,4573
Medical Condition,genome heterogeneity,4585,4605
Scientific Plant Name,DNA ligase,5055,5065
Medical Condition,genome heterogeneity,5246,5266
Scientific Plant Name,Nrf2,5268,5272
Scientific Plant Name,Nrf2,5379,5383
Scientific Plant Name,Keap1,5388,5393
Scientific Plant Name,Keap1,5458,5463
Scientific Plant Name,protein kinase C (PKC),5513,5535
Scientific Plant Name,phosphatidylinositide 3-kinases (PI3K),5579,5617
Scientific Plant Name,protein kinase (PKR-) like endoplasmic reticulum kinase (PERK),5628,5690
Scientific Plant Name,Nrf2,5710,5714
Scientific Plant Name,Nrf2,5737,5741
Scientific Plant Name,glutathione synthetase (GSS),5828,5856
Scientific Plant Name,peroxiredoxin (PRX),5881,5900
Medicinal Effect,antioxidant,5960,5971
Medicinal Effect,cytoprotective,6035,6049
Medicinal Effect,Nrf2 activation,6066,6081
Medical Condition,oxidative stress,6097,6113
Medical Condition,inflammation,6133,6145
Scientific Plant Name,DNA glycosylase,6709,6724
Scientific Plant Name,DNA ligase,7003,7013
Scientific Plant Name,PCNA,7117,7121
Medicinal Effect,DNA repair,7184,7194
Scientific Plant Name,Family Y DNA polymerase,7261,7284
Scientific Plant Name,Family Y DNA polymerase,7343,7366
Scientific Plant Name,Family Y DNA polymerase,7426,7449
Scientific Plant Name,DNA ligase,7622,7632
Medicinal Effect,DNA repair,7860,7870
Medical Condition,genome heterogeneity,7879,7899
Medical Condition,Cancer,8048,8054
Medical Condition,Cancer,8086,8092
Medicinal Effect,anticancer,8500,8510
Medical Condition,cancer,8630,8636
Medical Condition,drug resistance,8789,8804
Medical Condition,cancer,8882,8888
Medical Condition,Cancer,9007,9013
Medical Condition,cancer,9116,9122
Medical Condition,cancer,9197,9203
Medical Condition,cancer,9292,9298
Scientific Plant Name,diallyl trisulfide,9458,9476
Scientific Plant Name,resveratrol,9708,9719
Scientific Plant Name,genistein,9726,9735
Scientific Plant Name,curcumin,9742,9750
Scientific Plant Name,(-)-epigallocatechin gallate (EGCG),9757,9792
Scientific Plant Name,sesquiterpene lactones,9803,9825
Scientific Plant Name,deoxyelephantopin,9833,9850
Scientific Plant Name,artemisinin,9860,9871
Scientific Plant Name,parthenolide,9882,9894
Medical Condition,cancer,9992,9998
Medicinal Effect,anticancer,10095,10105
Medical Condition,oxidative stress,10154,10170
Medicinal Effect,antioxidant,10192,10203
Medicinal Effect,antioxidant,10231,10242
Medical Condition,cancer,10435,10441
Medicinal Effect,Cancer Prevention,10506,10523
Medicinal Effect,antioxidant,10554,10565
Medicinal Effect,cancer prevention,10605,10622
Medicinal Effect,antioxidant,10738,10749
Medicinal Effect,metal ion chelation,10766,10785
Medicinal Effect,anti-inflammatory,10805,10822
Medicinal Effect,antioxidant,10882,10893
Medical Condition,DNA damage,10997,11007
Medicinal Effect,cancer prevention,11026,11043
Medicinal Effect,Antioxidant,11079,11090
Medicinal Effect,ROS Scavenging,11138,11152
Medical Condition,DNA damage,11488,11498
Scientific Plant Name,vitamin E,11610,11619
Scientific Plant Name,carotenes,11628,11637
Scientific Plant Name,vitamin C,11689,11698
Medicinal Effect,Metal Ion Chelation,12222,12241
Medicinal Effect,antioxidant,13097,13108
Medicinal Effect,Antioxidant,13135,13146
Medicinal Effect,Nrf2 Activation,13189,13204
Medical Condition,oxidative stress,13298,13314
Medicinal Effect,antioxidant,13341,13352
Medicinal Effect,antioxidant,13521,13532
Medicinal Effect,ROS scavenging,13561,13575
Medicinal Effect,antioxidant,13703,13714
Scientific Plant Name,Nrf2,13763,13767
Medicinal Effect,antioxidant,13816,13827
Medicinal Effect,antioxidant,13867,13878
Scientific Plant Name,Nrf2,13982,13986
Medicinal Effect,Nrf2 activation,14110,14125
Scientific Plant Name,Nrf2,14170,14174
Scientific Plant Name,Resveratrol,14511,14522
Scientific Plant Name,Curcumin,14523,14531
Scientific Plant Name,Carotenes,14586,14595
Scientific Plant Name,Sesquiterpene lactones,14600,14622
Scientific Plant Name,Artemisinin,14623,14634
Scientific Plant Name,Parthenolide,14635,14647
Scientific Plant Name,Deoxyelephantopin,14661,14678
Scientific Plant Name,Diallyl trisulfide,14790,14808
Scientific Plant Name,Diallyl sulfide,14822,14837
Scientific Plant Name,Diallyl disulfide,14838,14855
Medicinal Effect,redox regulation,14910,14926
Scientific Plant Name,Nrf2,15129,15133
Medical Condition,cancer,15191,15197
Scientific Plant Name,NADPH,15205,15210
Scientific Plant Name,Nrf2,15300,15304
Scientific Plant Name,Nrf2,15375,15379
Scientific Plant Name,Keap1,15536,15541
Scientific Plant Name,Nrf2,15633,15637
Medical Condition,Inflammation,15658,15670
Medical Condition,inflammation,15769,15781
Medical Condition,inflammation,16150,16162
Medical Condition,cancer,16188,16194
Medicinal Effect,anti-inflammatory,16229,16246
Medicinal Effect,antioxidant,16377,16388
Medicinal Effect,Antioxidant,16642,16653
Medicinal Effect,antioxidant,16891,16902
Medical Condition,DNA damage,16983,16993
Medicinal Effect,cancer prevention,17012,17029
Medicinal Effect,antioxidant,17202,17213
Scientific Plant Name,Vitamin C,17280,17289
Scientific Plant Name,vitamin E,17307,17316
Medicinal Effect,antioxidant,17358,17369
Medicinal Effect,antioxidant,150,161
Medical Condition,oxidative damage,222,238
Medical Condition,chronic diseases,298,314
Medical Condition,oxidative damage,606,622
Medicinal Effect,chemoprevention,802,817
Medicinal Effect,anticancer,837,847
Medicinal Effect,antioxidant,948,959
Medical Condition,cancer,975,981
Medical Condition,cancer,1125,1131
Medical Condition,cancer,1416,1422
Medical Condition,cancer,1482,1488
Medical Condition,prostate cancer,1504,1519
Medical Condition,colorectal cancer,1524,1541
Medical Condition,cancer,1664,1670
Medicinal Effect,antioxidant,2074,2085
Medicinal Effect,antioxidant,2247,2258
Medicinal Effect,DNA protection,2659,2673
Medicinal Effect,DNA protection,3033,3047
Medicinal Effect,antioxidant,3147,3158
Medicinal Effect,anticancer,3230,3240
Medicinal Effect,antioxidant,3692,3703
Medicinal Effect,antioxidant,3895,3906
Medicinal Effect,protection,4350,4360
Scientific Plant Name,Crepis vesicaria L,4468,4486
Scientific Plant Name,Origanumheracleoticum,4488,4509
Scientific Plant Name,Scandix australis L,4511,4530
Scientific Plant Name,Amaranthus sp.,4531,4545
Scientific Plant Name,Scolymus hispanicus L,4547,4568
Scientific Plant Name,Thymus piperella L,4574,4592
Medicinal Effect,protection,4746,4756
Medicinal Effect,ROS scavenging,4829,4843
Medicinal Effect,metal ion chelation,4917,4936
Medicinal Effect,antioxidant,4959,4970
Medicinal Effect,ROS scavenging,5016,5030
Medicinal Effect,antioxidant,5061,5072
Medicinal Effect,protection,5198,5208
Medicinal Effect,upregulation of antioxidant enzymes,5274,5309
Medicinal Effect,metal ion chelation,5364,5383
Medical Condition,carcinogenesis,5392,5406
Medical Condition,hepatocellular carcinoma,5410,5434
Medical Condition,oxidative stress,5442,5458
Medical Condition,cancer,5553,5559
Scientific Plant Name,pomegranate,5630,5641
Medicinal Effect,antioxidant,5708,5719
Scientific Plant Name,Pomegranate,5809,5820
Scientific Plant Name,pomegranate,5886,5897
Medical Condition,oxidative stress,6206,6222
Medicinal Effect,antioxidant,6253,6264
Medical Condition,tumors,6975,6981
Medicinal Effect,anticancer,7073,7083
Scientific Plant Name,sulforaphane,7232,7244
Scientific Plant Name,curcumin,7262,7270
Medical Condition,mutation,7317,7325
Medical Condition,oxidative stress,7786,7802
Medicinal Effect,antioxidant,7928,7939
Medical Condition,cancer,8023,8029
Medical Condition,breast cancer,8129,8142
Medical Condition,cancer,8590,8596
Medical Condition,Cancer,9148,9154
Medical Condition,tumors,9261,9267
Medical Condition,oxidative stress,9357,9373
Medicinal Effect,prooxidant effect,9626,9643
Medicinal Effect,cytotoxicity,9737,9749
Medical Condition,cancer,9801,9807
Medical Condition,cancer,9944,9950
Medicinal Effect,cytotoxicity,10009,10021
Medical Condition,cancer,10126,10132
Medical Condition,cancer,10160,10166
Medical Condition,cancer,10688,10694
Medicinal Effect,antioxidant,10889,10900
Medical Condition,cancer,11660,11666
Medical Condition,cancer,11707,11713
Medicinal Effect,antioxidant,11895,11906
Medicinal Effect,Prooxidant,11962,11972
Medical Condition,oxidative stress,12043,12059
Medical Condition,cancer,12091,12097
Medical Condition,cancer,12183,12189
Medical Condition,cancer,12271,12277
Medicinal Effect,anticancer,12494,12504
Scientific Plant Name,vinblastine,12521,12532
Scientific Plant Name,doxorubicin,12534,12545
Scientific Plant Name,campthotecin,12547,12559
Scientific Plant Name,cisplatin,12561,12570
Scientific Plant Name,inostamycin,12576,12587
Medical Condition,cancer,12767,12773
Medical Condition,cancer,12801,12807
Medical Condition,oxidative stress,13004,13020
Medical Condition,cancer,13171,13177
Medicinal Effect,anticancer,13246,13256
Medical Condition,cancer,13257,13263
Medical Condition,oxidative stress,13475,13491
Medical Condition,cancer,13810,13816
Medicinal Effect,chemoprevention,13817,13832
Medicinal Effect,induction of apoptosis,13898,13920
Scientific Plant Name,garlic,14167,14173
Medicinal Effect,anticancer,14234,14244
Medicinal Effect,induction of oxidative stress,14262,14291
Scientific Plant Name,sulforaphane,14544,14556
Scientific Plant Name,phenethyl isothiocyanate,14558,14582
Scientific Plant Name,benzyl-isothiocyanate,14592,14613
Scientific Plant Name,6-methylsulfinylhexyl-isothiocyanate,14619,14655
Scientific Plant Name,Curcumin,15002,15010
Scientific Plant Name,Curcumin,15012,15020
Medicinal Effect,antioxidant,15169,15180
Scientific Plant Name,Curcumin,15228,15236
Medicinal Effect,anticancer,15396,15406
Scientific Plant Name,curcumin,15421,15429
Medical Condition,cancer,15477,15483
Medical Condition,cancer,15628,15634
Scientific Plant Name,curcumin,15671,15679
Medical Condition,cancer,15798,15804
Medical Condition,cancer,15823,15829
Medical Condition,cancer,15869,15875
Medical Condition,cancer,16220,16226
Scientific Plant Name,parthenolide,16250,16262
Medical Condition,cancer,16318,16324
Scientific Plant Name,Artemisia annua,16380,16395
Medicinal Effect,anticancer,16702,16712
Scientific Plant Name,Parthenolide,16747,16759
Scientific Plant Name,feverfew,16777,16785
Medicinal Effect,anticancer,16894,16904
Medical Condition,tumors,17095,17101
Medical Condition,cancer,17105,17111
Scientific Plant Name,parthenolide,17166,17178
Scientific Plant Name,paclitaxel,17201,17211
Medical Condition,cancer,17290,17296
Scientific Plant Name,paclitaxel,17311,17321
Scientific Plant Name,parthenolide,17382,17394
Medicinal Effect,chemosensitivity,17413,17429
Scientific Plant Name,paclitaxel,17433,17443
Medical Condition,cancer,17460,17466
Scientific Plant Name,parthenolide,17539,17551
Medical Condition,cancer,17596,17602
Scientific Plant Name,Elephan- topus scaber,17889,17910
Medical Condition,breast cancer,24,37
Medical Condition,cancer,266,272
Medical Condition,mammary carcinoma,376,393
Medicinal Effect,anticancer,558,568
Scientific Plant Name,artemisinin,598,609
Medicinal Effect,pro-oxidant,636,647
Medicinal Effect,pro-oxidant,662,673
Medicinal Effect,anticancer,723,733
Medical Condition,Cancer,749,755
Medical Condition,cancer,1139,1145
Medical Condition,cancer,1306,1312
Medical Condition,cancer,1544,1550
Medical Condition,cancer,1589,1595
Medical Condition,cancer,1919,1925
Medical Condition,cancer,1993,1999
Medical Condition,stomach cancer,2291,2305
Medical Condition,leukemia,2317,2325
Medical Condition,breast cancer,2417,2430
Medicinal Effect,cytoprotective,2815,2829
Medicinal Effect,pro-oxidant,2998,3009
Medicinal Effect,cytoprotective,3168,3182
Medicinal Effect,pro-oxidant,3208,3219
Medicinal Effect,cytoprotective,3350,3364
Medical Condition,cancer,3485,3491
Medical Condition,cancer,3792,3798
Medicinal Effect,chemotherapeutic,3883,3899
Medicinal Effect,cytoprotective,4051,4065
Scientific Plant Name,pine needles,4332,4344
Scientific Plant Name,lunasin,4556,4563
Scientific Plant Name,Solanum nigrum L,4606,4622
Scientific Plant Name,caffeic acid,5407,5419
Scientific Plant Name,lunasin,5572,5579
Medical Condition,cancer,5680,5686
Medical Condition,cancer,5893,5899
Medicinal Effect,anticancer,6090,6100
Scientific Plant Name,artemisinin,6113,6124
Medical Condition,cancer,6171,6177
Scientific Plant Name,lunasin,6870,6877
Medicinal Effect,Cytoprotective,6949,6963
Medicinal Effect,Chemopreventive,6971,6986
Medicinal Effect,Chemotherapeutic,7106,7122
Medical Condition,Cancer,7193,7199
Medicinal Effect,Cytoprotective,7293,7307
Medicinal Effect,Chemopreventive,7315,7330
Scientific Plant Name,resveratrol,7354,7365
Scientific Plant Name,quercetin,7367,7376
Scientific Plant Name,caffeic acid,7378,7390
Scientific Plant Name,resveratrol,7419,7430
Scientific Plant Name,quercetin,7432,7441
Scientific Plant Name,caffeic acid,7443,7455
Medicinal Effect,cytoprotective,7747,7761
Medicinal Effect,cytoprotective,7929,7943
Medical Condition,cancer,8064,8070
Medical Condition,cancer,8376,8382
Medicinal Effect,chemotherapeutic,8467,8483
Medicinal Effect,cytoprotective,8635,8649
Medicinal Effect,Anticancer,8734,8744
Scientific Plant Name,Caffeic acid,8825,8837
Scientific Plant Name,quercetin,9086,9095
Medical Condition,cancer,9360,9366
Scientific Plant Name,resveratrol,9591,9602
Scientific Plant Name,resveratrol,9816,9827
Scientific Plant Name,resveratrol,9885,9896
Medical Condition,cancer,9915,9921
Scientific Plant Name,Resveratrol,9968,9979
Medicinal Effect,pro-oxidant,10055,10066
Medical Condition,leukemia,10127,10135
Medicinal Effect,pro-oxidant,10232,10243
Medicinal Effect,pro-oxidant,10510,10521
Medical Condition,cancer,10820,10826
Scientific Plant Name,gossypol,11167,11175
Medicinal Effect,cytoprotective,12386,12400
Medicinal Effect,anticancer,13409,13419
Medical Condition,cancer,13620,13626
Medical Condition,cancer,13902,13908
Medical Condition,cancer,14259,14265
Medical Condition,cancer,14676,14682
Medical Condition,cancer,15297,15303
Medical Condition,cancer,15367,15373
Medical Condition,Cancer,15828,15834
Medical Condition,cancer,16065,16071
Medicinal Effect,anticancer,16746,16756
Medical Condition,cancer,16933,16939
Medical Condition,breast cancer,17243,17256
Medical Condition,cancer,17404,17410
Medicinal Effect,chemotherapeutic,17443,17459
Medical Condition,cancer,17624,17630
Medical Condition,cancer,17729,17735
Medical Condition,cancer,17775,17781
Medical Condition,cancer,17911,17917
Medical Condition,cancer,18188,18194
Medical Condition,cancer,18228,18234
Medical Condition,cancer,18539,18545
Medical Condition,cancer,18745,18751
Medical Condition,cancer,438,444
Medicinal Effect,chemoprevention,656,671
Medical Condition,cancer,826,832
Medical Condition,cancer,1114,1120
Medical Condition,cancer,1714,1720
Medical Condition,Cancer,1835,1841
Medical Condition,cancer,2035,2041
Medical Condition,cancer,2208,2214
Medical Condition,cancer,2336,2342
Medical Condition,cancer,2403,2409
Medicinal Effect,prooxidant,2534,2544
Medicinal Effect,antioxidant,2989,3000
Medical Condition,cancer,3206,3212
Medical Condition,carcinogenesis,3390,3404
Medicinal Effect,antioxidant,3432,3443
Medicinal Effect,prooxidant,3545,3555
Medical Condition,dysregulated redox balance,3639,3665
Medicinal Effect,antioxidant,3785,3796
Medical Condition,cancer,3987,3993
