name_type,non_sci_name
LP,Cussonia zimmermannii
LP,Ophrys lutea var. minor
LP,Melanthium cochinchinensis Lour.
LP,Aglaia roxburghiana Miq.
LP,Calamus hispidulus
LP,Odontadenia speciosa
LP,Monarrhenus salicifolius Cass.
LP,Paeonia delavayi Franch. var. angustifolia Rehd. & Wils.
LP,Allium sphaerocephalon L.
LP,Spermacoce quadrisulcata (Bremek.) Verde.
LP,Eichhornia azurea (Sw.) Kunth
LP,Roystonea regia
LP,Borreria hispida (L.) K.Schum.
LP,Bryonia alba L.
LP,Aloe ecklonis Salm.Dyck
LP,Amalocalyx yunnanensis Tsiang
LP,Croton megalobotrys
LP,Manihot glaziovii Müll.Arg.
LP,Peliosanthes macrostegia Hance
LP,Desmodium salicifolium (Poir.) DC.
LP,Chamelaucium uncinatum Schauer
LP,Sequoia sempervirens (Lamb. ex D. Don) Endl.
LP,Smilax calophylla
LP,Elymus canadensis L.
LP,Saxifraga cotyledon L.
LP,Hypericum japonicum Thunb. ex Murr.
LP,Aralia quinquefolia Decne. & Planch.
LP,Ladenbergia hexandra (Pohl) Klotzsch
LP,Phyllostachys nigra (Lodd.) Munro var. henonis (Mitford) Stapf ex Rendle
LP,Spermacoce ocimoides
LP,Linum rigidum Pursh
LP,Stenandrium dulce (Cav.) Nees
LP,Claytonia tuberosa Pall. ex Willd. var. tuberosa
LP,Melaleuca quinquenervia (Cav.) S. T. Blake
LP,Salvia leonuroides
LP,Cinchona nitida Ruiz et Pavon
LP,Hemsreya macrosperma C.Y.Wu ex C.Y.Wu. & C.L.Chen
LP,Lopholaena coriifolia (Sond.) E.Phillips & C.A.Sm.
LP,Gomphostemma crinitum Wall. ex Benth.
LP,Didymosperma porphyrocarpum
LP,Senna septemtrionalis (Viv.) H.S.Irwin & Barneby
LP,Pinus resinosa Soland.
LP,Lilium polyphyllum D.Don
LP,Stipa sibirica (L.) Lam.
LP,Anthocleista schweinfurthii Gilg
LP,Cladostemon kirkii (Oliv.) Pax & Gilg
LP,Atractylodes macrocephala Koidz.
LP,Eragrostis brownii
LP,Ephedra shennungiana Tang
LP,Pollinia fulva
LP,Lomatium dissectum (Nutt.) Mathias & Constance var. dissectum
LP,Trachyandra revoluta (L.) Kunth
LP,Pinus contorta
LP,Prosopis juliflora (Sw.) DC
LP,Geophila repens (L.) I.M.Johnst.
LP,Hornsledtia villosa
LP,Briza maxima L.
LP,Jasminum dispermum Wall.
LP,Croton chichenensis Lundell
LP,Uncaria cordata (Lour.) Merr. var. ferruginea (Blume) Ridsdale
LP,Smilacina purpurea Wall.
LP,Asclepias stellifera Schltr.
LP,Diospiros kaki L.
LP,Hydrilla verticillata
LP,Acorus calamus var. angustatus Bess.
LP,Syzygium wrightii (Baker) A.J. Scott
LP,Senecio retrorsus DC.
LP,Fadogia erythrophloea
LP,Calamus macrorrhynchus Burret
LP,Pholidocarpus majadum
LP,Hibiscus diversifolius Jacq.
LP,Klainedoxa gabonensis Pierre
LP,Hewittia sublobata
LP,Plectranthus irroratus Forrest ex Diels
LP,Tarenna asiatica (L.) Kuntze ex K.Schum. 
LP,Lophopetalum toxicum Loher
LP,Doxanthera capreolata
LP,Alchornea floribunda
LP,Asplenium rutifolium (PJ.Bergius) Kunze
LP,Alepidea amatymbica Eckl. & Zeyh.
LP,Adenandra uniflora (L.) Willd.
LP,Polyscias odorata Blanco
LP,Anodendron paniculatum DC.
LP,Aconitum stoerkianum Roxburgh
LP,Psychotria kuruvolii
LP,Cistus creticus L.
LP,Cypripedium flavescens
LP,Gethyllis ciliaris (Thunb.) Thunb.
LP,Artocarpus lacucha Buch.-Ham.
LP,Plantago lagocephala Bunge
LP,Podocarpus rnacrophyllus (Thunb.) D.Don
LP,Fraxinus excelsior L.
LP,Polygonatum kansuense Maxim.
LP,Adenophora capillaris Hemsl.
LP,Polyscias anisum.
LP,Randia aculeata L.
LP,Paris polyphylla Smith var. pseudothibetica H.Li
LP,Coleus scutellarioides Bentham
LP,Microtoena omeiensis C.Y.Wu & Hsuan
LP,Veratrum californicum Durand
LP,Camptotheca acuminata Decne.
LP,Attalea cohune
LP,Pandanus conoideus
LP,Diospyros decipiens
LP,Euphorbia clavarioides Boissier
LP,Agropyron repens (L.) Beauv.
LP,Rabdosia longituba (Miq.) Hara
LP,Lobelia zeylanica
LP,Stauntonia brevipes Hemsl.
LP,Scleria foliosa Hochst. ex A.Rich.
LP,Gossypioides kirkii (Mast.) Hutch.
LP,Ferilla frutescens Britton var. crispa Decaisne
LP,Ocimum campechianum Mill.
LP,Breynia fruticosa (Müll.Arg.) Hook.f.
LP,Curcuma zanthorrhiza Roxb.
LP,Veratrum viride Aiton
LP,Barosma crenulata (L.) Hook.
LP,Asclepias tenacissima Roxb.
LP,Lonchocarpus nicou DC.
LP,Rauvolfia praecox K. Schum. ex Mark.
LP,Ipomoea jalapa Hayne
LP,Digitaria pertunuis
LP,Nicotiana tabacum L.
LP,Holarrhena antidysenterica Buch.-Ham.
LP,Mentha mulleriana F.W.Schultz
LP,Gynochthodes sublanceolata
LP,Pachycymbium rogersii (L.Bolus) M.G.Gilbert
LP,Salix rotundifolia Trautv.
LP,Pilea oxyodon Wedd.
LP,Scutellaria lateriflora
LP,Sporobolus indicus (L.) R.Br. var. purpurso-suffusus (Ohwi) Koyama
LP,Campanula glomerata L.
LP,Bupleurum falcatum L. var. scorzonerifolium (Willd.) Ledeb.
LP,Dionaea muscipula J. Ellis
LP,Euphorbia tithymaloides L.
LP,Aloe abyssinica Lam.
LP,Anodendron tenuiflorum
LP,Aralia nudicaulis
LP,Acalypha boehmerioides Miquel
LP,Artemisia herba-alba
LP,Callicarpa caudata
LP,Hyptis lanceolata Poiteau
LP,Ixora nigricans R.Br ex Wight & Arn.
LP,Phragmites australis (Cav.) Trin.
LP,Chamaesyce geyeri (Engelm.) Small
LP,Operculina turpethum
LP,Phoenix reclinata
LP,Curcuma viridifolia Roxburgh
LP,Aristolochia sericea Blanco
LP,Plantago arenaria Waldst. & Kit.
LP,Rauwolfia javanica K.& V.
LP,Parameria angustior
LP,Achyranthes calea Ibantz
LP,Lontarus domestica
LP,Heeria insignis Kuntze
LP,Teucrium pilosum (Pamp.) C.Y.Wu & S.Chow
LP,Armoracia sisymbrioides (DC.) Cajand.
LP,Chaetochloa barbata
LP,Ribes oxyacanthoides L.
LP,Euphorbia indica L.
LP,Excoecaria quandra Muell. Arg.
LP,Commelina erecta L. fo. dielsii (Herter) Bacigalupo
LP,Maprounea africana Mull.Arg.
LP,Leucaena pulverulenta
LP,Cuscuta europaea L.
LP,Viola sylvestris Lam.
LP,Platanthera stricta Lindl.
LP,Aster laevis L.
LP,Cochlospermum vitifolium (Willd.) Spreng.
LP,Daemonorops longipes Mart.
LP,Crataegus pinnatifida Bunge
LP,Chrysanthemum segetum L.
LP,Mosla hadai Nakai
LP,Cryptostegia grandiflora
LP,Euphorbia longifolia D.Don
LP,Quercus cyrtoryncha
LP,Tabernaemontana corymbosa Roxb. ex Wallich
LP,Chimaphila umbellata ssp. occidentalis (Rydb.) Hultén
LP,Arundina chinensis Bl.
LP,Ilex guayusa Loes.
LP,Licuala spinosa
LP,Hedera terrestris Garsault
LP,Prosopis dulcis Kunth
LP,Hoya coronaria
LP,Chrysobalanus icaco Linn.
LP,Merremia dissecta
LP,Mnesithea pubescens
LP,Phyla nodiflora
LP,Oldenlandia rigida
LP,Premna odorata Blanco
LP,Pycnanthemum californicum Torr.
LP,Fimbristylis diphylla
LP,Cyrtostachys lakka
LP,Burmannia disticha
LP,Diospyros diversilimba Merr. and Chun
LP,Spathodea gigantea
LP,Chaemaeraphis spinescens
LP,Asarum europaeum L.
LP,Nauclea moliis
LP,Dracunculus vulgaris Schott
LP,Prunus pedunculata Maxim.
LP,Manilkara zapotilla Gilly
LP,Annesorhiza nuda (Aiton) B.L.Burtt
LP,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D.Dietr.
LP,Conopharyngia usambarensis Stapf.
LP,Benincaea hispida Cogn.
LP,Borojoa patinoi Cuatr.
LP,Platanthera japonica (Thunb.) Lindl.
LP,Smilax luzonensis K.Presl
LP,Diospyros discolor
LP,Crataegus cuneata Siebold & Zucc.
LP,Ipomoea aculeata
LP,Commelina benghalensis
LP,Madhuca longifolia (J. Konig Ex L.) J.f. Macbr.
LP,Eugenia esquirolii Levl.
LP,Potentilla aurea L.
LP,Polygala amara L.
LP,Rheum tanguticum Maxim. ex Balf.
LP,Chrysobalanus icaco subsp. atacorensis
LP,Dioscorea alata
LP,Jasminum quinguenervium
LP,Ballota africana Bentham
LP,Pseudosorghum zollingeri (Steud.) A.Camus
LP,Costus schlechteri
LP,Quercus pseudomolucca
LP,Arnebia guttata Bunge
LP,Streptanthus cordatus Nutt.
LP,Protea roupelliae Meisn.
LP,Ficus arnottiana Miq.
LP,Pergularia odoratissima
LP,Pyrostegia venusta (Ker-Gawl.) Miers
LP,Panax ginseng C. A. Mey.
LP,Lobelia melliana E.Wimm.
LP,Cayaponia espelina (Silva Manso) Cogn.
LP,Panicum maximum
LP,Panicum brizoides
LP,Coleus barbatus (Andrews) Benth.
LP,Quercus acutissima Carruth.
LP,Mansoa alliacea (Lam.) A.H. Gentry
LP,Polystichum acrostichoides (Michx.) Schott
LP,Fritillaria cirrhosa D.Don var. bonatii (Levl.) S.C.Chen
LP,Rhipogonum scandens Forst. & Forst.f.
LP,Paeonia x suffruticosa Andrews
LP,Crinum latifolium L.
LP,Pluchea caspia (Pallas)O.Hoffm. ex Paulsen
LP,Hyaenanche globosa
LP,Chamaesyce fendleri (Torr. & Gray) Small var. fendleri
LP,Iris germanica var. florentina (L.) Dykes
LP,Asplenium crinicaule Hance
LP,Convallaria majalis
LP,Panicum barbinode
LP,Garcinia oliveri Pierre
LP,Homalomena griffithii
LP,Commicarpus plumbagineus (Cav.) Standl.
LP,Stemona tuberosa Loureiro
LP,Phyllanthus polyphyllus Dalzell & A.Gibson
LP,Pachystigma macrocalyx (Sond.) Robyns
LP,Wrightia antidysenterica (L.) R.Br.
LP,Satureja grandibracteata Killick
LP,Gynostemma pentaphyllum (Thunb.) Makino
LP,Siparuna apiosyce DC.
LP,Ranunculus lingua L.
LP,Allium sativum Linné
LP,Dimeria ornithopoda
LP,Anthriscus cerefolium (L.) Hoffm.
LP,Ipomoea turpethum (L.) R.Br.
LP,Greenea jackii Wight et Arnott
LP,Anthyllis vulneraria L.
LP,Tecoma chrysantha Jacq.
LP,Smilax glabra
LP,Kadsura longipedunculata Finlayson et Gagnepain
LP,Microlaena stipoides (Labill.) R.Br.
LP,Agave sisalana Perr. ex Engelm.
LP,Dimorphandra gardneriana Tul.
LP,Cratoxylon celebicum Bl.
LP,Geum capense Thunb.
LP,Calicarpa cuspidata
LP,Sacharum officinarum L.
LP,Remijia ferruginea (A.St.-Hil.) DC.
LP,Plumeria alba
LP,Acacia tortilis (Forssk.) Hayne subsp. heteracantha (Burch.) Brenan
LP,Crocosmia paniculata (Klatt) Goldblatt
LP,Paspalum umbellatum
LP,Oldenlandia herbacea (L.) Roxb.
LP,Eremochloa Hornei
LP,Spilanthes acmella L.
LP,Macaranga indica Wight
LP,Pandanus thwaitesii Martelli
LP,Ipomoea aquatica Forssk.
LP,Cymbopogon citratus (Nees) Stapf
LP,Smilax verticalis Gagnepain
LP,Phyllanthus multiflorus Willd.
LP,Asparagus drepanophyllus Welwitsch
LP,Cyrtanthus tuckii Baker
LP,Pleurospermum pilosum C.B. Clarke ex H. Wolff
LP,Costus phyllocephalus
LP,Euphorbia monteiri Hook.f. subsp. monteiri
LP,Gymnema aurantiaca Wall. ex Hook.f.
LP,Isachne montana
LP,Arisaema ringens Schott
LP,Quercus alba L.
LP,Clerodendrum japonicum (Thunb.) Sweet
LP,Ceanothus leucodermis Greene
LP,Chascanum pinnatifidum (L.f.) E.Mey.
LP,Scirpus pallidus (Britt.) Fern.
LP,Pelargonium antidysentericum (Eckl. & Zeyh.) Kostel.
LP,Betula papyrifera Marsh.
LP,Croton saltensis Griseb.
LP,Premna fulva Craib
LP,Cryptomeria japonica (Thunb. ex L.f.) D.Don
LP,Chamaecrista absus (L.) H.S.Irwin & Barneby
LP,Ribes lacustre (Pers.) Poir.
LP,Vallisneria spiralis L.
LP,Reseda odorata L.
LP,Magnolia kobus Dc.
LP,Tragia involucrata L.
LP,Cryptolepis grandiflora Wight
LP,Leucas martinicensis R. Br.
LP,Rhodiola kirilowii (Regel) Maxim.
LP,Lippia origanoides H.B.K.
LP,Lithospermum canescens (Michx.) Lehm.
LP,Acanthopanax obovatus G.Hoo
LP,Baccaurea macrophylla (Mull.Arg.) Mull.Arg.
LP,Vallisneria natans (Lour.) Hara
LP,Caralluma dalzielii
LP,Rumex dentatus L.
LP,Thymus zygis L.
LP,Rhynchelitrum amethysteum Chiov.
LP,Ugni molinae Turcz.
LP,Sinolimprichtia alpina H. Wolff
LP,Cleidion spiciflorum
LP,Dipcadi erythraeum Webb & Berthel.
LP,Voacanga africana Stapf.
LP,Phleum pratense L.
LP,Orthosiphon aristatus (Blume) Miq.
LP,Rauwolfia serpentina (L.) Bentham
LP,Akebia pentaphylla Makino var. integrifolia Kimura
LP,Aloe barbadensis Mill.
LP,Cotula aurea L.
LP,Ochrosia borbonica J. F. Gmel
LP,Renealmia africana
LP,Polygonatum sibiricum Red.
LP,Arenaria congesta Nutt.
LP,Foetidia rodriguesiana F. Friedmann
LP,Claxylon indicum (Reinw. ex Blume) Hassk.
LP,Ophiopogon bodinieri Levl.
LP,Copaifera reticulata Ducke
LP,Jamesbrittenia filicaulis (Benth.) Hilliard
LP,Barringtonia scortechinii
LP,Strobilanthes auriculatus Nees
LP,Ipomoea muricata Jacq.
LP,Ephedra distachya
LP,Pittocaulon praecox (Cav.) H. Rob. & Brettell
LP,Cornus unalaschkensis Ledeb.
LP,Sagittaria sagittifolia L.
LP,Pollinia clavigera
LP,Physalis philadelphica Lam.
LP,Berberis rigidifolia Kunth
LP,Pentaphragma begoniifolium Wall.
LP,Ptychosperma clapparia
LP,Stephania abyssinica (Quart.-Dill. & A.Rich.) Walp.
LP,Agrostis rigidula
LP,Lobelia taliensis Diels
LP,Hamiltonia suaveolens Roxb.
LP,Peperomia tetraphylla (G.Forst.) Hook. & Arn.
LP,Galphimia glauca Cav.
LP,Cepa alba Renault
LP,Senecio radicans (L.f.) Sch.Bip.
LP,Abildgaardia fusca Nees
LP,Pavetta macrothyrsa
LP,Anisomeles malabarica R.Br.
LP,Gomphrena volubilis Blanco
LP,Eremostachys loasifolia Benth.
LP,Cytinus hypocistis L.
LP,Canna edulis Ker.
LP,Smilacina henryi (Baker) Wang & Tang
LP,Ludisia discolor (Ker Gawl.) A. Rich.
LP,Oldenlandia herbacea
LP,Aralia elata var. mandshurica (Miq.) Seem. (Rupr. & Maxim.) J.Wen
LP,Helichrysum argyrophyllum DC.
LP,Albizia amara subsp. sericocephala (Benth.)Brenan
LP,Lilium tigrinum Ker-Gawl.
LP,Plectranthus vettiveroides (Jacob) N.P.Singh & B.D.Sharma
LP,Megalochlamys revoluta (Lindau) Vollesen subsp. cognata (N.E.Br.) Vollesen
LP,Dentella repens Forster
LP,Diospiros toposita Buch.-Ham.
LP,Amomum tsao-ko Crevost & Lemarié
LP,Alstroemeria patagonica Phil.
LP,Tonningia axillaris (L.) Kuntze
LP,Gleditsia sinensis Lam.
LP,Veratrum album L.
LP,Euphorbia cognata Boiss.
LP,Michelia velutina Bl.
LP,Cassytha filiformis L.
LP,Merremia hederacea (Burm.f.) Hallier f.
LP,Liqurdambar altinga
LP,Leucojum aestivum L.
LP,Lundia cordata DC.
LP,Ochrosia borbonica J.F.Gmel.
LP,Urtica urens L.
LP,Acalypha villicaulis Hochst.
LP,Erythraea suffructicosa
LP,Melissa officinalis
LP,Calamus erectus
LP,Attalea funifera Martius
LP,Elsholtzia ciliata Hylander
LP,Ficus stuhlmannii Warb.
LP,Calamintha officinalis
LP,Phyllanthus acidus Skeels.
LP,Nigritella angustifolia
LP,Pogonia japonica Reichb f.
LP,Taxus contorta Griﬀ.
LP,Cinchona pitayensis (Wedd.) Wedd.
LP,Pinanga dicksonii (Roxb.) Blume
LP,Ananas comosus (L.) Merrill
LP,Raphia hooker
LP,Cytisus monspessulanus L.
LP,Cyperus malaccensis
LP,Xanthosoma mexicanum Liebm.
LP,Mariscus sumatrensis (Retz.) J.Raynal
LP,Bredemeyera floribunda Willd.
LP,Illicium defengii K.I.B. et K.I.M.
LP,Sideritis glacialis
LP,Aucklandia lappa Decne.
LP,Panicum trypheron
LP,Chamaedorea elatior
LP,Liquidambar formosana
LP,Rhodomyrtus tomentosa
LP,Neanotis decipiens (Hook.f.) W.H.Lewis
LP,Amorphophallus campanulatus Blume ex Decn.
LP,Cleistanthus pallidus
LP,Myxopyrum nervosum Bl.
LP,Inula racemosa Hook.f.
LP,Schefflera junghuhniana
LP,Dendrobium crumentum Sw.
LP,Heuchera bracteata (Torr.) Ser.
LP,Cereus grandiflorus Mill.
LP,Phlomis umbrosa Turcz. var. australis Hemsl.
LP,Jacaranda filicifolia
LP,Tarenna attenuata (Voigt) Hutch.
LP,Vinca minor
LP,Antidesma madagascariense Lam.
LP,Chonemorpha grandiereana Pierre
LP,Rungia repens Nees
LP,Lantana indica Roxburgh
LP,Quercus apanacana
LP,Micromeria fruticosa (L.) Druce
LP,Euphorbia fusiformis Buch.-Ham. ex D.Don
LP,Ficus abutilifolia (Miq.) Miq.
LP,Piper aurantiacum Wallich
LP,Thuarea involuta
LP,Thymus tiflisiensis Klok. et Shost.
LP,Urginea coromandeliana Hook.f.
LP,Ficus vs. maxima Mill.
LP,Marsdenia tinctoria R.Br.
LP,Commelina erecta var. angustifolia (Michx.) Fernald f. angustifolia
LP,Ionidium enneaspermum Vent.
LP,Clinopodium polycephalum (Vaniot) C. Y. Wu et Hsuan
LP,Betula alba
LP,Chamaecytisus polytrichus (Bieb.) Rothm.
LP,Cyrtosiphonia madurensis
LP,Vitis lanceolaria Wall.
LP,Ipomoea descolei O´Donell
LP,Tanaecium nocturnum Burmann et Schumann
LP,Frasera albomarginata var. induta (Tidestrom) Card
LP,Codiaeum variegatum (L.) Bl.
LP,Palmijuncus equestris
LP,Pterococcus corniculatus Pax. & Hoffm.
LP,Operculina turpethum (L.) Silva Manso
LP,Lindera strychnifolia Fernandez-Villar
LP,Asparagus rivalis Burch.
LP,Chrozophora plicata (Vahl) A.Juss. ex Spreng.
LP,Mirabilis multiflora (Torr.) Gray var. multiflora
LP,Veratrum nigrum L. var. japonicum Baker
LP,Smilax microphylla C.H.Wright
LP,Erioneuron pulchellum (Kunth) Tateoka
LP,Euphorbia candelabrum
LP,Musa balbisiana Colla
LP,Merremia nymphaeifolia
LP,Hevea spruceana Muell.-Arg.
LP,Picramnia pentandra Sw.
LP,Ravenala madagascariensis Poiret
LP,Jeffersonia diphylla (L.) Pers.
LP,Gnaphalium berlandieri DC.
LP,Nauclea orientalis L.
LP,Polygala gerrardii Chodat
LP,Rubia membranacea (Franch.) Diels
LP,Anchomanes giganteus Engler
LP,Cyperus distans Linnaeus fil.
LP,Pogonia kungii Tang & Wang
LP,Periploca graeca L.
LP,Korthalsia echinometra
LP,Aframomum stipulatum Schumann
LP,Salvia coccinea Buchoz ex Etl.
LP,Peucedanum formosanum Hayata
LP,Hanguana malayana
LP,Sporobolus agrostis
LP,Euryale ferox Salisb.
LP,Areca catechu L.
LP,Glycine javanica L.
LP,Lavandula intermedia Lois.
LP,Lavandula viridis
LP,Freycinetia gaudichaudii
LP,Jasminum anostomosans Wallich
LP,Aidia micrantha Bullock
LP,Trichilia emetica Vahl subsp. suberosa J.J. De Wilde
LP,Croton oblongus Burm. Burm. f.
LP,Impatiens hawkeri W.Bull
LP,Empetrum nigrum L.
LP,Ononis spinosa L.
LP,Urginea burkei Bak.
LP,Polygonatum cyrtonema Hua.
LP,Markhamia zanzibarica (Bojer ex DC.) K.Schum.
LP,Kyllinga bulbosa P. Beauv.
LP,Alangium faberi Oliv.
LP,Alangium ebenaceum
LP,Phyllanthus urinaria
LP,Orchis conopsea L.
LP,Iphigenia mysorensis Arekal & S.N.Ramaswamy
LP,Ipomoea reniformis Choisy
LP,Pyrola americana Sweet
LP,Tacca integrifolia Ker Gawl.
LP,Dictyoloma peruvianum Planch.
LP,Acorus gramineus Soland.
LP,Cochlospermum fraseri Planch.
LP,Croton texensis (Klotzsch) Muell.-Arg.
LP,Myosotis laxa Lehm.
LP,Grewia astropetala Pierre
LP,Mussaenda roxburghii Hook.f.
LP,Fritillaria prezewalskii Maximowicz
LP,Lonicera confusa DC.
LP,Symphorema involucratum Roxb.
LP,Premna taitensis Schauer
LP,Stereospermum suaveolens (Roxb.) DC.
LP,Bergenia crassifolia (L.) Fritsch
LP,Argyreia nervosa Bojer
LP,Excoecaria agallocha
LP,Triticum secalinum Georgi
LP,Sideritis osteoxyla
LP,Eupatorium cannabinum L.
LP,Dipcadi minor Hook.f.
LP,Asclepias gigantea L.
LP,Lycium foetidum L.
LP,Podocarpus amara Bl.
LP,Commiphora mollis (Oliv.) Engl.
LP,Myxopyrum nervosum
LP,Lampaya medicinalis F. Phil.
LP,Marsdenia tinctoria R.Br. var. tomentosa Mas.
LP,Smilax zeylanica L.
LP,Reseda luteola L.
LP,Salvia cuspidata subsp. gilliesii (Benth.) J.R.I. Wood
LP,Finlaysonia obovata Wall.
LP,Aglaonema modestum Schott ex Engl.
LP,Agathis macrostachys Warb.
LP,Argyreia mollis (Burm.f.) Choisy
LP,Eriachhne obtusa
LP,Dalbergia ecastaphyllum (L.) Taub.
LP,Madhuca longifolia L.
LP,Calliandra depauperata Benth.
LP,Orbea decaisneana (Lem.) Bruyns
LP,Bequaertiodendron natalense
LP,Borago officinalis L.
LP,Zanthoxylum dimorphophyllum Hemsl. var. spinifolium Rehd. & Wils.
LP,Rosa moschata Herrm.
LP,Euphorbia barnhartii
LP,Glyceria fluitans (L.) R.Br.
LP,Greenea corymbosa
LP,Etlingera solaris
LP,Aechis rigida Buch.-Ham. ex J.E.Smith
LP,Amomum vilosum
LP,Maclura tinctoria (L.) D.Don ex Steud.
LP,Geum longifolium (Maxim.) Smedmark
LP,Jasminum chrysanthemum Roxb.
LP,Scirpus yagara Ohwi
LP,Alstonia spectabilis R.Brown
LP,Saxifraga pulvinaria Harry Sm.
LP,Amsonia sinensis Tsiang & P.T.Li
LP,Palicourea rigida Kunth
LP,Hedychium gracile Roxb.
LP,Uragoga brasiliensis Gomes
LP,Pavetta gracilifolia Bremek.
LP,Uragoga penducularis Schumann
LP,Carex prasina Wahlenb.
LP,Iris speculatrix Hance
LP,Arum bicolor Ait.
LP,Solanum terminale Forssk.
LP,Feretia apodanthera Delile
LP,Agoseris aurantiaca (Hook.) Greene
LP,Aralia californica S.Watson
LP,Licania parviflora Benth.
LP,Nidorella anomala Steetz
LP,Brassica alba Boiss.
LP,Macaranga conifera
LP,Chusquea ramosissima Lindm.
LP,Mallotus philippensis (Lam.) Müll.Arg.
LP,Hedychium spicatum
LP,Rhus laevigata L.
LP,Balaka seemanii Wendland
LP,Momordica cochinchinensis (Lour.) Spreng.
LP,Ptychopetalum uncinatum Anselmino
LP,Odontella welwitschii (Engl.) Balle
LP,Manulea parviflora Benth.
LP,Scabiosa columbaria L.
LP,Macrochloa tenacissima (L.) Kunth
LP,Roystonea oleracea
LP,Sasa senanensis (Franch. & Sav.) Rehder
LP,Stachys parviflora Bentham
LP,Dicoma sessiliflora Harv. subsp. kirkii (Harv.) Wild
LP,Amorphophallus campanulatus (Roxb.) Bl.ex Decne
LP,Curcuma zedoaria (Christm.) Roscoe
LP,Volkameria serratum L.
LP,Saccharum munja Roxb.
LP,Anthocephalus chinensis Hassk.
LP,Glochidion ramiflorum Forster
LP,Eulophia epidendraea Fischer
LP,Tabebuia chrysotricha (Mart. ex A.DC.) Standl.
LP,Piper sylvestre
LP,Cnesmone javanica
LP,Stachys officinalis Treviranus
LP,Pentanisia prunelloides (Klotzsch ex Eckl. & Zeyh.) Walp.
LP,Eragrostis zeylanica
LP,Mitracarpus hirtus
LP,Stachys hyssopoides Burch. ex Benth.
LP,Calamus koordersianus
LP,Eugenia jamboloides
LP,Magnolia kobus De Candolle
LP,Cymbopogon schoenanthus subsp. proximus (Hochst. ex A.Rich.) Maire & Weiller
LP,Veltheimia capensis (L.) DC.
LP,Hoya coriacea
LP,Poa japonica Thunb.
LP,Picea mariana
LP,Crinum zeylanicum (L.) L.
LP,Commelina longifolia Lam.
LP,Mentha arvensis var. piperascens Malinv. Ex. Holmes
LP,Daemia extensa
LP,Ophrys mammosa
LP,Herpetospermum pedunculosum (Ser.) C.B.Clarke
LP,Pragmites filiformis
LP,Pycnocoma chevalieri Baillon
LP,Uncaria tomentosa DC.
LP,Populus grandidentata Michx.
LP,Echeandia flavescens (J. A. & J. H. Schultes) Cruden
LP,Acanthoponax evodiaefolius Franch.
LP,Acinos alpinus
LP,Eleusine indica
LP,Mimusops indica A.DC.
LP,Streptocarpus rexii (Hook.) Lindl.
LP,Acacia catechu (L.f.) Willd.
LP,Encephalartos villosus Lem.
LP,Croton urucurana Baill.
LP,Pentzia incana Kuntze
LP,Diospyros racemosa
LP,Cymbopogon citratus (DC. ex Nees) Stapf
LP,Adenophora stricta Miq. subsp. confusa (Nannf.) Hong
LP,Clerodendrum javanicum
LP,Blyttia fruticulosa (Decne.) D.V.Field
LP,Sapium integerrimum (Hochst. ex C.Krauss) J.Leonard
LP,Paris bashanensis Wang & Tang
LP,Ichnocarpus frutescens R.Brown
LP,Yucca glauca Nutt.
LP,Castanopsis costata
LP,Descurainia incana ssp. incisa (Engelm.) Kartesz & Gandhi
LP,Origanum compactum Benth.
LP,Juniperus sibirica Loddiges
LP,Pinus halepensis Mill.
LP,Monochoria vaginalis (Burm. f.) Presl
LP,Maytenus boaria Molina
LP,Achillea santolina L.
LP,Ptychococcus paradoxa
LP,Philodendron hylaeae G.S. Bunting
LP,Picralima nitida (Stapf) Th. & H. Dur.
LP,Citrus sinensis L. Osbeck
LP,Psychotria glandulosa (Dennst.) Suresh
LP,Hymenopogon parasiticus Wall.
LP,Salvia coccinea Buchoz ex Etlinga
LP,Laportea aestuans (L.) Chew
LP,Pseudosabicea mildbraedli Hallé
LP,Aloe vahombe Decorse et Poisson
LP,Phoenix sylvestris
LP,Larix kaempferi (Lam.) Carr.
LP,Fimbristylis annua R.& S.
LP,Mallotus philippensis
LP,Asplenium obtusifolium L.
LP,Ipomoea nitida Griseb.
LP,Austrocedrus chilensis Fl. et Bout.
LP,Quercus lamellosa Smith
LP,Streptocaulon calophyllum Wight
LP,Phacelophrynium robinsonii
LP,Payena glabra
LP,Psorospermum febrifugum Spach.
LP,Eucalyptus maculata Hook. var. citriodora (Hook. f.) Bailey
LP,Hermannia cuneifolia Jacq. var. cuneifolia
LP,Smilax glaucophylla Klotzsch
LP,Pinanga punicea
LP,Arctium tomentosum Mill.
LP,Convolvulus scammonia
LP,Phlomis betonicoides Diels
LP,Rosa arkansana Porter
LP,Acanthopanax gracilistylus W.W.Sm.
LP,Coix lachryma-jobi Linné var. mayuen Stapf
LP,Sebastiana chamaelea Müll.Arg.
LP,Gynura pinnatifida DC.
LP,Premna tahitensis Schauer
LP,Chionanthus virginica
LP,Cyrtanthus breviflorus Harv.
LP,Ribes laxiflorum Pursh
LP,Enterolobium cyclocarpum (Jacq.) Griseb.
LP,Eleutherococus senticosus (Rupr. et Maxim.)
LP,Spilanthes acmella (L.) L.
LP,Euclea mayottensis H. Perr.
LP,Hoya diversifolia
LP,Dioscorea trimenii
LP,Oldenlandia heynii G.Don.
LP,Eucalyptus exserta F.V.Muell.
LP,Prunus africana (Hook.f.) Kalkman
