task_id,label,head,tail
344,treats_medical_condition,C. majus,ulcers
344,has_medicinal_effect,C. majus,lighten freckles
344,treats_medical_condition,C. majus,skin wounds
344,treats_medical_condition,C. majus,skin irritation
344,treats_medical_condition,C. majus,allergic rashes
344,treats_medical_condition,C. majus,dermatitis
344,treats_medical_condition,C. majus,boils
344,treats_medical_condition,C. majus,blisters
344,treats_medical_condition,C. majus,rashes
344,treats_medical_condition,C. majus,scabies
344,treats_medical_condition,C. majus,skineruptions
344,treats_medical_condition,C. majus,psoriasis
344,treats_medical_condition,C. majus,eczema
344,treats_medical_condition,C. majus,hepatitis
344,treats_medical_condition,C. majus,"inflammation of the gallbladder, bile duct"
344,treats_medical_condition,C. majus,jaundice
344,treats_medical_condition,C. majus,hepatitis
344,treats_medical_condition,C. majus,Digestive Tract Parasites
344,has_medicinal_effect,Chelidonium majus,depurative
344,treats_medical_condition,Chelidonium majus,cancer
344,treats_medical_condition,Chelidonium majus,cancer of lungs
346,has_medicinal_effect,Chelidonium majus,Antiviral
347,treats_medical_condition,C. majus,hepatobiliary disorders
347,treats_medical_condition,C. majus,liver toxicity
347,has_medicinal_effect,C. majus,antitumor
352,treats_medical_condition,Chamaemelum nobile (L.) All.,gastrointestinal disorders
352,treats_medical_condition,Chamaemelum nobile (L.) All.,dyspepsia
352,treats_medical_condition,Chamaemelum nobile (L.) All.,flatulence
352,treats_medical_condition,Chamaemelum nobile (L.) All.,nausea
352,treats_medical_condition,Chamaemelum nobile (L.) All.,vomiting
352,treats_medical_condition,Chamaemelum nobile (L.) All.,anorexia
352,treats_medical_condition,Chamaemelum nobile (L.) All.,vomiting of pregnancy
352,treats_medical_condition,Chamaemelum nobile (L.) All.,dysmenorrhoea
352,treats_medical_condition,Chamaemelum nobile (L.) All.,gastrointestinal cramps
352,treats_medical_condition,Chamaemelum nobile (L.) All.,flatulent dyspepsia
352,has_medicinal_effect,Chamaemelum nobile (L.) All.,prevent indigestion
352,has_medicinal_effect,Chamaemelum nobile (L.) All.,improveappetite
352,has_medicinal_effect,Chamaemelum nobile (L.) All.,smoothmuscle-relaxant
352,has_medicinal_effect,Chamaemelum nobile (L.) All., smoothmuscle-relaxant
352,has_medicinal_effect,Chamaemelum nobile (L.) All.,antimicrobial
352,treats_medical_condition,Chamaemelum nobile (L.) All.,bacterial and fungal strains
352,has_medicinal_effect,Chamaemelum nobile (L.) All.,antifungal
352,has_medicinal_effect,Chamaemelum nobile (L.) All.,anti-inflammatory
352,has_medicinal_effect,Chamaemelum nobile (L.) All.,anti-inflammatory
352,treats_medical_condition,Chamaemelum nobile (L.) All.,gastrointestinal problems
352,has_medicinal_effect,Chamaemelum nobile (L.) All.,smooth muscle-relaxanteffect
376,has_medicinal_effect,Prunus spinosa L.,vasoprotective
376,has_medicinal_effect,Prunus spinosa L.,anti-inflammatory
376,has_medicinal_effect,Prunus spinosa L.,diuretic
376,has_medicinal_effect,Prunus spinosa L.,detoxifying
376,has_medicinal_effect,Prunus spinosa L.,blood purifying
376,has_medicinal_effect,Prunus spinosa L.,spasmolytic
376,treats_medical_condition,Prunus spinosa L.,intestinal andrespiratory tract disorders
376,treats_medical_condition,Prunus spinosa L.,cardiac complaints
376,treats_medical_condition,Prunus spinosa L.,myocarditis
376,treats_medical_condition,Prunus spinosa L.,cardiac neurosis
376,treats_medical_condition,Prunus spinosa L.,atherosclerosis
376,treats_medical_condition,Prunus spinosa L.,mild inflammation
376,has_medicinal_effect,Prunus spinosa L.,astringent
376,has_medicinal_effect,Prunus spinosa L.,heart-strengthening
376,has_medicinal_effect,Prunus spinosa L.,anti-hypertensive
376,has_medicinal_effect,P. spinosa,vasodilatory
376,has_medicinal_effect,P. spinosa,vasoprotective
376,has_medicinal_effect,P. spinosa,anti-atherogenic
376,has_medicinal_effect,P. spinosa,antithrombotic
376,has_medicinal_effect,P. spinosa,anti-apoptotic
376,has_medicinal_effect,P. spinosa,antioxidant
376,treats_medical_condition,P. spinosa,ischemic/reperfusioninjuries
379,has_medicinal_effect,Prunus spinosa L.,antioxidant
380,treats_medical_condition,P. spinosa,cardiovascular episodes
380,has_medicinal_effect,P. spinosa,antioxidant
380,has_medicinal_effect,P. spinosa,anti-atherosclerotic
380,has_medicinal_effect,P. spinosa,decrease LDL oxidation
380,has_medicinal_effect,P. spinosa,modulate lipidmetabolism
380,has_medicinal_effect,P. spinosa,normalize LDL/HDL profile
380,has_medicinal_effect,P. spinosa,improve capillarypermeability
380,has_medicinal_effect,P. spinosa,vasoprotective effects
380,has_medicinal_effect,P. spinosa,endothelial function
380,has_medicinal_effect,P. spinosa,increase nitric oxide release
380,has_medicinal_effect,P. spinosa,vasodilatory effects
380,has_medicinal_effect,P. spinosa,anti-atherothrombotic effects in early stages of atherosclerosisdevelopment
380,has_medicinal_effect,P. spinosa,anti-inflammatory
380,has_medicinal_effect,P. spinosa,anti-atherogenic
380,has_medicinal_effect,P. spinosa,anticoagulant
380,has_medicinal_effect,P. spinosa,antiplatelet
380,has_medicinal_effect,P. spinosa,abilityto influence endothelium
382,has_medicinal_effect,Citrullus colocynthis,anticancer
382,treats_medical_condition,Citrullus colocynthis,breast cancer
382,has_medicinal_effect,Citrullus colocynthis,prevention of EMT of metastaticMDA-MB-231 cells
383,has_medicinal_effect,Citrullus colocynth,anticancerpotential presumably by promoting apoptosis
383,has_medicinal_effect,Citrullus colocynth,anti-metastatic
383,has_medicinal_effect,Citrullus colocynth,prevention of cellproliferation
383,has_medicinal_effect,Citrullus colocynth,induction of cell apoptosis
383,has_medicinal_effect,Citrullus colocynth,reduction of EMT
383,has_medicinal_effect,Citrullus colocynth,inhibition of cancer stemnessproperty in breast cancer cells
383,has_medicinal_effect,Citrullus colocynth,block EMT
383,has_medicinal_effect,Citrullus colocynth,prevention of cellmigration
399,has_medicinal_effect,Lavandulaangustifolia,anxiolytic
399,has_medicinal_effect,Lavandulaangustifolia,antidepressant-like
